property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,Unnamed: 23,Unnamed: 24,sale_year,sale_month,property_age,years_since_prev_sale,price_growth_pct,price_per_m2,desc_word_count,desc_length,luxury_word_count
M001,Mosman,"5 Botanic Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150195184,8700000.0,2026-07-22,7000000.0,2018-04-12,House,4,3,2.0,1.0,437.0,175.0,2005.0,No,3,0.0,"A Beach House of Rare Style, Space and Luxury",Simeon Partners - Mosman.,,,,2026,7,21.0,8.276522929500342,24.285714285714285,19908.46681922197,9,45,2
M002,Mosman,"105 Holt Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-151124468,3550000.0,2026-06-05,,,House,4,3,1.0,0.0,445.0,174.5,1920.0,No,2,0.0,Enchanting Character Family Terrace,Pello - Lower North Shore,,,,2026,6,106.0,,,7977.528089887641,4,35,0
M003,Mosman,"96 Glover Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150415760,3390000.0,2026-06-02,3230000.0,2018-01-18,House,4,3,2.0,0.0,395.0,379.0,,No,2,0.0,Classic Federation Grandeur Meets Contemporary Sophistication,De Brennan Property - Mosman,,,,2026,6,81.0,8.369609856262834,4.953560371517028,8582.278481012658,6,61,1
M004,Mosman,"8A Bickell Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150194672,5050000.0,2026-04-17,3300000.0,2016-11-04,House,5,3,2.0,0.0,746.0,240.0,1960.0,No,2,1.0,this exceptional family home has been remarkably transformed from its Bauhaus past into a state-of-the-art haven of design excellence.,De Brennan Property - Mosman,,,,2026,4,66.0,9.44832306639288,53.03030303030303,6769.436997319035,19,134,1
M005,Mosman,"14 Erith Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150578600,5300000.0,2026-04-11,,,House,4,3,1.0,1.0,613.0,162.0,1910.0,No,2,1.0,Magnificent c1910 Family Home of Deluxe Craftsmanship,Pello - Lower North Shore,,,,2026,4,116.0,,,8646.00326264274,7,53,0
M006,Mosman,"17 Morella Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149267976,23000000.0,2026-03-31,14000000.0,2016-11-24,House,4,3,2.0,0.0,961.0,421.0,,No,2,0.0,Architectural statement of luxury with sublime harbour views,Atlas | Lower North Shore - NEUTRAL BAY,,,,2026,3,81.0,9.347022587268993,64.28571428571429,23933.402705515087,8,60,1
M007,Mosman,"29 Pearl Bay Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149519784,7198000.0,2026-03-20,5250000.0,2009-12-22,House,4,3,3.0,1.0,658.0,208.0,,No,3,0.0,"Art Deco Masterpiece, Idyllic Waterfront Reserve, Seclusion & Harmony",Simeon Partners - Mosman,,,,2026,3,81.0,16.240930869267626,37.10476190476191,10939.209726443769,9,69,0
M008,Mosman,"53 Clanalpine Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150128256,7700000.0,2026-03-06,3700000.0,2023-05-22,House,5,5,4.0,1.0,511.0,300.0,2025.0,No,2,1.0,Sophisticated newly built family home with thoughtful design and bespoke finishes.,Atlas | Lower North Shore - NEUTRAL BAY,,,,2026,3,1.0,2.7898699520876113,108.10810810810811,15068.493150684932,11,82,0
M009,Mosman,"1 Bray Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150278904,3750000.0,2026-02-27,2305000.0,2018-04-14,House,3,2,1.0,0.0,296.0,171.0,1915.0,No,2,1.0,"Charming Freestanding Home, Whisper Quiet Location",Murphy Residential,,,,2026,2,111.0,7.874058863791923,62.68980477223427,12668.918918918918,6,50,0
M010,Mosman,"46 Spencer Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150094808,3990000.0,2026-02-16,3100000.0,2019-08-29,House,4,2,0.0,0.0,233.0,165.0,1910.0,No,2,1.0,Beautiful Federation semi transformed into haven of contemporary luxury,DiJones - Mosman,,,,2026,2,116.0,6.469541409993155,28.70967741935484,17124.463519313304,9,71,1
M011,Mosman,"6 Lavoni Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149800272,11550000.0,2025-12-05,5900000.0,2016-11-05,House,7,4,3.0,1.0,715.0,296.0,1930.0,No,2,0.0,"Graceful private family entertainer in blue ribbon street  full brick c1930s home with signature curved P&O façade, salt water pool, guest house, north-facing terrace",Atlas | Lower North Shore - NEUTRAL BAY,,,,2025,12,95.0,9.08145106091718,95.76271186440678,16153.846153846154,25,167,0
