property_id,suburb,address,sale_price,property_type,bedrooms,bathrooms,land_size_m2,building_size_m2,ml_model_estimate,abs_error,pct_error,llm_estimate,human_estimate,ml_model_estimate_err_pct,llm_estimate_err_pct,human_estimate_err_pct
EP024,Epping,"1/34 Kandy Avenue, Epping, NSW 2121",1610000.0,Townhouse,3,2,232.0,232.0,1651088.9972329685,41088.99723296845,2.5521116293769226,2135000.0,1875000.0,2.5521116293769226,32.608695652173914,16.459627329192546
EP014,Epping,"6/110 Midson Road, Epping, NSW 2121",1716000.0,Villa,3,1,302.0,241.0,1650368.8536099144,65631.14639008557,3.8246588805411172,2088000.0,1781000.0,3.8246588805411172,21.678321678321677,3.787878787878788
M041,Mosman,"8/800 Military Road, Mosman, NSW 2088",2600000.0,Townhouse,3,2,1667.0,135.0,4247983.870472841,1647983.870472841,63.38399501818619,2969000.0,3975000.0,63.38399501818619,14.192307692307693,52.88461538461539
EP040,Epping,"2 Abuklea Road, Epping, NSW 2121",2550000.0,House,3,1,1060.0,211.0,2192902.369606454,357097.6303935461,14.003828642884159,2285000.0,1781000.0,14.003828642884159,10.392156862745098,30.15686274509804
M028,Mosman,"99 Muston Street, Mosman, NSW 2088",14600000.0,House,5,4,683.0,304.0,8241450.06210575,6358549.93789425,43.551711903385275,7865000.0,7288000.0,43.551711903385275,46.130136986301366,50.082191780821915
M027,Mosman,"3/12 Earl Street, Mosman, NSW 2088",2380000.0,Townhouse,3,2,289.0,189.0,2944326.068535055,564326.068535055,23.711179350212397,4156000.0,3975000.0,23.711179350212397,74.6218487394958,67.01680672268907
M020,Mosman,"14 Effingham Street, Mosman, NSW 2088",7500000.0,House,4,3,678.0,376.0,6068045.836590128,1431954.163409872,19.092722178798294,9728000.0,5565000.0,19.092722178798294,29.706666666666663,25.8
M012,Mosman,"26 Vista Street, Mosman, NSW 2088",4320000.0,House,4,2,321.0,204.0,4192215.868168681,127784.13183131907,2.9579660146138673,5278000.0,5300000.0,2.9579660146138673,22.175925925925927,22.685185185185187
EP001,Epping,"4/22-24 Boronia Avenue, Epping, NSW 2121",1685000.0,Villa,3,2,2110.0,279.0,1663758.3304276054,21241.669572394574,1.2606332090441885,2417000.0,1875000.0,1.2606332090441885,43.44213649851632,11.275964391691394
M005,Mosman,"14 Erith Street, Mosman, NSW 2088",5300000.0,House,4,3,613.0,162.0,5698722.365689803,398722.3656898029,7.523063503581187,4191000.0,5565000.0,7.523063503581187,20.92452830188679,5.0
