property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,,
M001,Mosman,"5 Botanic Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150195184,"$8,700,000 ",22-Jul-26,"$7,000,000 ",12-Apr-18,House,4,3,2,Yes,437,175,2005,No,3,No,"A Beach House of Rare Style, Space and Luxury",Simeon Partners - Mosman.,NaN,,
M002,Mosman,"105 Holt Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-151124468,"$3,550,000 ",5-Jun-26,NaN,NaN,House,4,3,1,No,445,174.5,1920,No,2,No,Enchanting Character Family Terrace,Pello - Lower North Shore,NaN,,
M003,Mosman,"96 Glover Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150415760,"$3,390,000 ",2-Jun-26,"$3,230,000 ",18-Jan-18,House,4,3,2,No,395,379,NaN,No,2,No,Classic Federation Grandeur Meets Contemporary Sophistication,De Brennan Property - Mosman,NaN,,
M004,Mosman,"8A Bickell Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150194672,"$5,050,000 ",17-Apr-26,"$3,300,000 ",4-Nov-16,House,5,3,2,No,746,240,1960,No,2,Yes,this exceptional family home has been remarkably transformed from its Bauhaus past into a state-of-the-art haven of design excellence.,De Brennan Property - Mosman,NaN,,
M005,Mosman,"14 Erith Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150578600,"$5,300,000 ",11-Apr-26,NaN,NaN,House,4,3,1,Yes,613,162,1910,No,2,Yes,Magnificent c1910 Family Home of Deluxe Craftsmanship,Pello - Lower North Shore,NaN,,
M006,Mosman,"17 Morella Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149267976,"$23,000,000 ",31-Mar-26,"$14,000,000 ",24-Nov-16,House,4,3,2,No,961,421,NaN,No,2,No,Architectural statement of luxury with sublime harbour views,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M007,Mosman,"29 Pearl Bay Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149519784,"$7,198,000 ",20-Mar-26,"$5,250,000 ",22-Dec-09,House,4,3,3,Yes,658,208,NaN,No,3,No,"Art Deco Masterpiece, Idyllic Waterfront Reserve, Seclusion & Harmony",Simeon Partners - Mosman,NaN,,
M008,Mosman,"53 Clanalpine Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150128256,"$7,700,000 ",6-Mar-26,"$3,700,000 ",22-May-23,House,5,5,4,Yes,511,300,2025,No,2,Yes,Sophisticated newly built family home with thoughtful design and bespoke finishes.,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M009,Mosman,"1 Bray Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150278904,"$3,750,000 ",27-Feb-26,"$2,305,000 ",14-Apr-18,House,3,2,1,No,296,171,1915,No,2,Yes,"Charming Freestanding Home, Whisper Quiet Location",Murphy Residential,NaN,,
M010,Mosman,"46 Spencer Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-150094808,"$3,990,000 ",16-Feb-26,"$3,100,000 ",29-Aug-19,House,4,2,0,No,233,165,1910,No,2,Yes,Beautiful Federation semi transformed into haven of contemporary luxury,DiJones - Mosman,NaN,,
